PopName,glottocodeBase,samplePopID,geographicRegion,publication,country,lat,lon,glottolog.node1,LangFamily,isolate,LowSampleSize,LowQualitySNP,proxyHeggartyTree,LangNameHeggartyTree
Tatar_Mishar,tata1255,Tatarstan_Republic__Drozhzhanovsky_and_Alekseevski_districts,EURASIA,Jeong_2019,Russia,55,48.5,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Adana,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,37,35.31666667,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Aydin,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,37.85,27.83333333,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Balikesir,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,39.385,27.533,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Istanbul,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,41.016666,28.95,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Kayseri,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,38.733333,35.483333,turk1311,Turkic,Family,NO,NO,0,0
Turkish_Trabzon,nucl1301,NA,EURASIA,LazaridisNature2014,Turkey,41,39.73333333,turk1311,Turkic,Family,NO,NO,0,0
Turkmen,turk1304,NA,EURASIA,LazaridisNature2014,Uzbekistan,42.463993,59.611816,turk1311,Turkic,Family,NO,NO,0,0
Bergamo,ital1282,29,EURASIA,PattersonGenetics2012,Italy,45.69513077,9.680723297,indo1319,Indo-European,Family,NO,NO,ital1282,Italian
Tuscan,ital1282,29,EURASIA,PattersonGenetics2012,Italy,43,11,indo1319,Indo-European,Family,NO,NO,ital1282,Italian
Udmurt_Northern,nort2676,Udmurtia_Republic__Sharkansky__Alnashsky__Vavozhsky__Yukamensky_districts,EURASIA,Jeong_2019,Russia,56.09,52.37,ural1272,Uralic,Family,NO,NO,0,0
Udmurt_Southern,sout2681,Udmurtia_Republic__Sharkansky__Alnashsky__Vavozhsky__Yukamensky_districts,EURASIA,Jeong_2019,Russia,56.09,52.37,ural1272,Uralic,Family,NO,NO,0,0
Ukrainian_East,ukra1253,NA,EURASIA,LazaridisNature2014,Russia,50.2870922,31.5574036,indo1319,Indo-European,Family,NO,NO,ukra1253,Ukrainian
Ukrainian_Rovenskaya,ukra1253,Rovenskaya_region,EURASIA,Jeong_2019,Ukraine,51.32,26.58,indo1319,Indo-European,Family,YES,NO,ukra1253,Ukrainian
Ukrainian_Sumskaya,ukra1253,Sumskaya_region,EURASIA,Jeong_2019,Ukraine,50.82,33.87,indo1319,Indo-European,Family,NO,NO,ukra1253,Ukrainian
Ukrainian_West,ukra1253,NA,EURASIA,LazaridisNature2014,Ukraine,49.85,24.01666667,indo1319,Indo-European,Family,YES,NO,ukra1253,Ukrainian
Ukrainian_Zhitomirskaya,ukra1253,Zhitomirskaya_region,EURASIA,Jeong_2019,Ukraine,50.52,28.55,indo1319,Indo-European,Family,YES,NO,ukra1253,Ukrainian
Veps,veps1250,Karelia_Republic__Prionezhsky_district,EURASIA,Jeong_2019,Russia,61.27,35.02,ural1272,Uralic,Family,NO,NO,0,0
LabourdinBaztan,labo1236,NA,EURASIA,FloresBelloBasque2021,France/Spain,43.3438,-1.5414,basq1248,Basque,Isolate,NO,NO,0,0
